curso_sigla,periodo,codigo,CorDisciplina,nome,abreviacao,ch
CB,IX,CBBR064,#8bcc7f,PARASITOLOGIA,Para,60
CB,IX,CBBR065,#5cc0be,ATIVIDADES COMPLEMENTARES,Ativ Comp,80
CN,I,CNBR001,#ffadad,QUIMICA BASICA,Quim Basi,60
CN,I,CNBR002,#ffd6a5,FILOSOFIA E METODO CIENTIFICO,Filo Meto Cien,30
CN,I,CNBR003,#fdffb6,POLITICAS E LEGISLACAO DA EDUCACAO BASICA,Poli Legi Educ,45
CN,I,CNBR004,#caffbf,DIDATICA APLICADA A FORMACAO DOCENTE,Dida Apli Form,45
CN,I,CNBR005,#9bf6ff,MATEMATICA BASICA,Mate Basi,60
CN,I,CNBR006,#a0c4ff,BIOLOGIA CELULAR,Biol Celu,60
CN,I,CNBR007,#bdb2ff,TENDENCIAS DA PESQUISA EM EDUCACAO EM CIENCIAS,Tend Pesq Educ,45
CN,I,CNBR008,#ffc6ff,INICIACAO A COMPUTACAO,Inic Comp,30
CN,I,CNBR061,#e0bbe4,AVALIACAO NO PROCESSO EDUCACIONAL,Aval Proc Educ,30
CN,I,CNBR062,#ffdfd3,DIVERSIDADE DE ALGAS,Dive Alga,30
CN,I,CNBR063,#ffc2c2,ESTRATEGIAS ALTERNATIVAS NO ENSINO DE CIENCIAS E BIOLOGIA,Estr Alte Ensi,30
CN,I,CNBR064,#ffe2b9,ESTRATEGIAS ALTERNATIVAS NO ENSINO DE FISICA,Estr Alte Ensi,30
CN,I,CNBR065,#feffcc,ESTRATEGIAS ALTERNATIVAS NO ENSINO DE QUIMICA,Estr Alte Ensi,30
CN,I,CNBR066,#d9ffcf,INOVACAO E EMPREENDEDORISMO NA LICENCIATURA,Inov Empr Lice,30
CN,I,CNBR067,#adf9ff,SEMINARIOS INTEGRADORES NA EDUCACAO CIENTIFICA,Semi Inte Educ,30
CN,I,CNBR068,#b4d1ff,TEMAS CONTEMPORANEOS PARA A EDUCACAO,Tema Cont Educ,30
CN,I,CNBR069,#ccc6ff,TEMAS SOCIOAMBIENTAIS E CULTURAIS,Tema Soci Cult,30
CN,I,CNBR070,#ffd3ff,TOPICOS ESPECIAIS E ENSINO DE BIOLOGIA CELULAR E EVOLUCAO,TE  Ensi Bio Cel,30
CN,I,CNBR071,#eccfe9,TOPICOS ESPECIAIS E ENSINO DE DIVERSIDADE BIOLOGICA ANIMAL,TE  Ensi,30
CN,I,CNBR072,#ffe8de,TOPICOS ESPECIAIS E ENSINO DE DIVERSIDADE BIOLOGICA VEGETAL,TE  Ensi,30
CN,I,CNBR073,#f29898,TOPICOS ESPECIAIS E ENSINO DE MICROBIOLOGIA,TE  Ensi,30
CN,I,CNBR074,#f2c08f,TOPICOS ESPECIAIS E ENSINO EM EDUCACAO AMBIENTAL,TE  Ensi,30
CN,I,CNBR075,#f0f2a0,TOPICOS ESPECIAIS EM ENSINO DE BIOLOGIA FUNCIONAL,TE  Ensi,30
CN,I,CNBR076,#b7f2ab,TOPICOS ESPECIAIS EM ENSINO DE CIENCIAS EXATAS E DA TERRA,TE  Ensi,30
CN,I,CNBR077,#88e0ea,TOPICOS ESPECIAIS EM ENSINO DE ECOLOGIA,TE  Ensi,30
CN,II,CNBR010,#8daeda,GENETICA BASICA,Gene Basi,60
CN,II,CNBR011,#a79cea,EDUCACAO ESPECIAL E INCLUSIVA,Educ Espe Incl,45
CN,II,CNBR012,#f2b0f2,QUIMICA INORGANICA,Quim Inor,45
CN,II,CNBR013,#cba5d0,ECOLOGIA GERAL,Ecol Gera,60
CN,II,CNBR014,#f2c9bb,CALCULO,Calc,45
CN,II,CNBR015,#ffd7d7,"PLANEJAMENTO, GESTAO E AVALIACAO",Plan Gest Aval,60
CN,II,CNBR016,#ffefcd,FUNDAMENTOS DE ECOLOGIA DA AMAZONIA,Fund Ecol Amaz,45
CN,III,CNBR017,#feffd9,QUIMICA ORGANICA,Quim Orga,45
CN,III,CNBR018,#e3ffdd,MORFOLOGIA VEGETAL,Morf Vege,60
CN,III,CNBR019,#c0fcff,METODOLOGIA DA PESQUISA,Meto Pesq,15
CN,III,CNBR020,#c9deff,LIBRAS I,Libr I,30
CN,III,CNBR021,#dcd5ff,"SOCIOLOGIA, EDUCACAO E CIDADANIA",Soci Educ Cida,45
CN,III,CNBR022,#ffe0ff,FUNDAMENTOS DE FISICA I,Fund Fisi I,60
CN,III,CNBR023,#f9e6ef,EVOLUCAO,Evol,60
CN,III,CNBR024,#fff2ec,EDUCACAO E MEIO AMBIENTE NO ENSINO DE CIENCIAS,Educ Meio Ambi,60
CN,IV,CNBR025,#e58383,DIVERSIDADE DE PROTISTAS,Dive Prot,30
CN,IV,CNBR026,#e5ac79,METODOLOGIA DO ENSINO DE CIENCIAS,Meto Ensi Cien,60
CN,IV,CNBR027,#e3e58a,BIOQUIMICA,Bioq,60
CN,IV,CNBR028,#a1e595,FISICA DA TERRA E DO UNIVERSO,Fisi Terr Univ,60
CN,IV,CNBR029,#72cbd4,DIVERSIDADE VEGETAL I,Dive Vege I,60
CN,IV,CNBR030,#77b2f2,LIBRAS II,Libr Ii,45
CN,IV,CNBR031,#9186f2,VIRUS E PROCARIONTES,Viru Proc,45
CN,V,CNBR032,#e59ae5,DIVERSIDADE ZOOLOGICA I,Dive Zool I,75
CN,V,CNBR033,#b68fb9,EDUCACAO E PLURALIDADE CULTURAL NO ENSINO DE CIENCIAS,Educ Plur Cult,45
CN,V,CNBR034,#e5b9a5,FUNDAMENTOS DE FISICA II,Fund Fisi Ii,60
CN,V,CNBR035,#ffeded,DIVERSIDADE DE FUNGOS,Dive Fung,30
CN,V,CNBR036,#fffcf1,ESTAGIO DOCENTE EM ESPACOS FORMAIS E NAO- https://sigaa.ufpa.br/sigaa/graduacao/curriculo/lista.jsf# FORMAIS,Esta Doce Espa,90
